x_mm,y_mm,z_mm,position_found,pose_found,best_position_error_mm,rcond,joint_margin_deg,orientation_error_deg,position_error_mm,status,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,target_roll_deg,target_pitch_deg,target_yaw_deg
-350.00000000000006,-150.00000000000003,-150.00000000000003,0,0,73.625357472589883,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,-100,0,0,47.392622849492923,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,-50,0,0,27.337483379149248,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,0,0,0,12.554519241204847,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,50,0,0,3.596312704515753,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,100,1,0,0.86253976880243022,,4.707556498712671e-05,109.14517773352465,0.86253976880243022,orientation_unresolved,0.39283458124880938,-1.5618945184251418,4.7268464694956189e-05,-1.236636239812311,-1.6684422433496483e-05,2.5947075087020394e-18,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,150.00000000000003,0,0,4.4823004889093232,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,200,0,0,14.285393272444475,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,250,0,0,29.839933941635273,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,300.00000000000006,0,0,50.538503417312363,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-100,-300.00000000000006,0,0,165.48073962368656,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,-250,0,0,127.05694562953995,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,-200,0,0,92.645807956318734,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,-150.00000000000003,0,0,59.835321259156338,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,-100,0,0,32.945595264067755,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,-50,0,0,12.120639511300599,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,0,1,0,0.00039680134689601269,,12.921511305716219,75.863120109606754,0.00039680134689601269,orientation_unresolved,0.36068279145699772,-1.7965123082149459,0.070714545079409399,-0.87000438256386925,-0.2788647505396662,-0.95915410650965904,0,0,-164.05460409907718
-350.00000000000006,-100,50,1,0,0.00016979868705890372,,3.2721265677357629,173.48856279608961,0.00016979868705890372,orientation_unresolved,0.069247070999371912,-1.6287768932810691,-0.22651033043699195,-1.1795276792869469,0.52055191896348585,1.2181273854366204,0,0,-164.05460409907718
-350.00000000000006,-100,100,1,0,0.00021097854198670377,,49.453994625989523,177.84427977448584,0.00021097854198670377,orientation_unresolved,0.26670256310327844,-1.1589001903462666,-0.47634732336820174,0.036268538155951748,-0.18065257434995122,1.1196107316356619e-18,0,0,-164.05460409907718
-350.00000000000006,-100,150.00000000000003,1,0,0.00017631422811930348,,6.032732613671393,176.48512564717899,0.00017631422811930348,orientation_unresolved,0.076206644527346601,-1.4268894300866595,-0.13659369360723725,-1.1313460144349083,0.51279298008565288,1.2181273854366204,0,0,-164.05460409907718
-350.00000000000006,-100,200,1,0,0.00041146800416633022,,43.508340252569482,141.06784785166215,0.00041146800416633022,orientation_unresolved,0.23805096979370968,-1.2626714353480468,0.053375911372660706,0.38294414620366146,-0.19587019410418299,0.31630461155417039,0,0,-164.05460409907718
-350.00000000000006,-100,250,0,0,14.716957989187293,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-100,300.00000000000006,0,0,36.148978694787445,,,,,position_unresolved,,,,,,,0,0,-164.05460409907718
-350.00000000000006,-50,-300.00000000000006,0,0,160.3119217987562,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,-250,0,0,121.24482667846551,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,-200,0,0,84.222605678771743,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,-150.00000000000003,0,0,52.865417693296379,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,-100,0,0,24.08208614534022,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,-50,0,0,2.7083311285144713,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,0,1,0,0.00013740866128302543,,8.3618361950800946,112.32401124040035,0.00013740866128302543,orientation_unresolved,-0.057763205326092117,-1.876093651716783,-0.12944278016719665,-0.98030105766720343,0.55227284708261737,-0.3232551866533292,0,0,-171.86989764584405
-350.00000000000006,-50,50,1,0,0.00010836727970147879,,24.557747977165615,132.64977400120159,0.00010836727970147879,orientation_unresolved,0.20720460094917859,-1.5934216657568483,0.33865726625865966,-0.21618797694590786,-0.82235979830357864,1.0592426495547025,0,0,-171.86989764584405
-350.00000000000006,-50,100,1,0,0.00011334553763219773,,28.16395110999899,131.40369638827525,0.00011334553763219773,orientation_unresolved,0.21506753371358342,-1.4706226649840373,0.39374655199906056,-0.22864929646922,-0.88081953613279651,1.0592426495547025,0,0,-171.86989764584405
-350.00000000000006,-50,150.00000000000003,1,0,0.0001218032942335426,,11.287388509395349,158.73028126921997,0.0001218032942335426,orientation_unresolved,0.066585752064489703,-1.8250331313926418,0.31871963774401357,-0.35902343813966991,0.46891889190105546,1.776376753552959e-17,0,0,-171.86989764584405
-350.00000000000006,-50,200,1,0,0.00018233495653221011,,23.493508745335539,163.20733818991096,0.00018233495653221011,orientation_unresolved,0.1057423253661031,-1.6119961443811783,0.31427538767520669,-0.28369011854867471,0.25591385716892867,5.892836612210041e-18,0,0,-171.86989764584405
-350.00000000000006,-50,250,0,0,5.3663078517143115,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
-350.00000000000006,-50,300.00000000000006,0,0,27.277718746767562,,,,,position_unresolved,,,,,,,0,0,-171.86989764584405
