constant_axis,constant_mm,total,position_found,pose_found,position_percent,pose_percent,pose_near_singular,orientation_unresolved,collision_candidates_only,position_unresolved,witness_margin_below_1deg,svg
X,200.000000,1049,580,201,55.29075,19.16111,20,379,0,469,17,slices/X_plus_200mm.svg
X,225.000000,997,538,213,53.96189,21.36409,22,325,0,459,15,slices/X_plus_225mm.svg
X,250.000000,949,480,215,50.57956,22.65543,14,265,0,469,9,slices/X_plus_250mm.svg
X,275.000000,877,423,235,48.23261,26.79590,7,188,0,454,21,slices/X_plus_275mm.svg
X,300.000000,797,353,250,44.29109,31.36763,9,103,0,444,12,slices/X_plus_300mm.svg
X,325.000000,725,283,203,39.03448,28.00000,8,80,0,442,7,slices/X_plus_325mm.svg
X,350.000000,641,198,143,30.88924,22.30889,5,55,0,443,6,slices/X_plus_350mm.svg
X,375.000000,553,108,85,19.52984,15.37071,8,23,0,445,0,slices/X_plus_375mm.svg
X,400.000000,441,17,11,3.85488,2.49433,5,6,0,424,0,slices/X_plus_400mm.svg
X,425.000000,349,0,0,0.00000,0.00000,0,0,0,349,0,slices/X_plus_425mm.svg
X,450.000000,241,0,0,0.00000,0.00000,0,0,0,241,0,slices/X_plus_450mm.svg
X,475.000000,121,0,0,0.00000,0.00000,0,0,0,121,0,slices/X_plus_475mm.svg
X,500.000000,1,0,0,0.00000,0.00000,0,0,0,1,0,slices/X_plus_500mm.svg
Y,-500.000000,1,0,0,0.00000,0.00000,0,0,0,1,0,slices/Y_minus_500mm.svg
Y,-475.000000,121,0,0,0.00000,0.00000,0,0,0,121,0,slices/Y_minus_475mm.svg
Y,-450.000000,241,0,0,0.00000,0.00000,0,0,0,241,0,slices/Y_minus_450mm.svg
Y,-425.000000,349,0,0,0.00000,0.00000,0,0,0,349,0,slices/Y_minus_425mm.svg
Y,-400.000000,441,0,0,0.00000,0.00000,0,0,0,441,0,slices/Y_minus_400mm.svg
Y,-375.000000,553,65,18,11.75407,3.25497,5,47,0,488,9,slices/Y_minus_375mm.svg
Y,-350.000000,641,157,49,24.49298,7.64431,5,108,0,484,17,slices/Y_minus_350mm.svg
Y,-325.000000,725,241,77,33.24138,10.62069,4,164,0,484,21,slices/Y_minus_325mm.svg
Y,-300.000000,797,315,101,39.52321,12.67252,1,214,0,482,17,slices/Y_minus_300mm.svg
Y,-275.000000,877,388,113,44.24173,12.88483,4,275,0,489,30,slices/Y_minus_275mm.svg
Y,-250.000000,949,452,105,47.62908,11.06428,2,347,0,497,33,slices/Y_minus_250mm.svg
